Fila;TP;Razón
461;TP-179322;"No se realizaron cambios (los datos ya estaban actualizados)"
469;TP-188592;"No se realizaron cambios (los datos ya estaban actualizados)"
471;TP-259949;"No se realizaron cambios (los datos ya estaban actualizados)"
487;TP-212643;"No se realizaron cambios (los datos ya estaban actualizados)"
489;TP-180020;"No se realizaron cambios (los datos ya estaban actualizados)"
491;TP-022360;"No se realizaron cambios (los datos ya estaban actualizados)"
492;TP-177806;"No se realizaron cambios (los datos ya estaban actualizados)"
498;TP-179885;"No se realizaron cambios (los datos ya estaban actualizados)"
499;TP-179089;"No se realizaron cambios (los datos ya estaban actualizados)"
502;TP-182368;"No se realizaron cambios (los datos ya estaban actualizados)"
512;TP-312753;"No se realizaron cambios (los datos ya estaban actualizados)"
519;TP-182395;"No se realizaron cambios (los datos ya estaban actualizados)"
538;TP-184522;"No se realizaron cambios (los datos ya estaban actualizados)"
541;TP-198246;"No se realizaron cambios (los datos ya estaban actualizados)"
542;TP-177796;"No se realizaron cambios (los datos ya estaban actualizados)"
544;TP-179464;"No se realizaron cambios (los datos ya estaban actualizados)"
547;TP-187868;"No se realizaron cambios (los datos ya estaban actualizados)"
559;TP-219857;"No se realizaron cambios (los datos ya estaban actualizados)"
583;TP-207093;"No se realizaron cambios (los datos ya estaban actualizados)"
591;TP-179953;"No se realizaron cambios (los datos ya estaban actualizados)"
595;TP-178359;"No se realizaron cambios (los datos ya estaban actualizados)"
607;TP-232969;"No se realizaron cambios (los datos ya estaban actualizados)"
608;TP-061140;"No se realizaron cambios (los datos ya estaban actualizados)"
614;TP-180080;"No se realizaron cambios (los datos ya estaban actualizados)"
618;TP-243164;"No se realizaron cambios (los datos ya estaban actualizados)"
621;TP-069598;"No se realizaron cambios (los datos ya estaban actualizados)"
623;TP-213854;"No se realizaron cambios (los datos ya estaban actualizados)"
633;TP-207596;"No se realizaron cambios (los datos ya estaban actualizados)"
649;TP-267848;"No se realizaron cambios (los datos ya estaban actualizados)"
650;TP-210597;"No se realizaron cambios (los datos ya estaban actualizados)"
652;TP-192863;"No se realizaron cambios (los datos ya estaban actualizados)"
653;TP-180395;"No se realizaron cambios (los datos ya estaban actualizados)"
656;TP-177995;"No se realizaron cambios (los datos ya estaban actualizados)"
662;TP-179136;"No se realizaron cambios (los datos ya estaban actualizados)"
695;TP-291639;"No se realizaron cambios (los datos ya estaban actualizados)"
726;TP-258579;"No se realizaron cambios (los datos ya estaban actualizados)"
728;TP-313090;"No se realizaron cambios (los datos ya estaban actualizados)"
742;TP-262916;"No se realizaron cambios (los datos ya estaban actualizados)"
769;TP-364713;"No se realizaron cambios (los datos ya estaban actualizados)"
781;TP-368021;"No se realizaron cambios (los datos ya estaban actualizados)"
795;TP-257934;"No se realizaron cambios (los datos ya estaban actualizados)"
796;TP-270948;"No se realizaron cambios (los datos ya estaban actualizados)"
821;TP-212762;"No se realizaron cambios (los datos ya estaban actualizados)"
834;TP-268208;"No se realizaron cambios (los datos ya estaban actualizados)"
849;TP-226167;"No se realizaron cambios (los datos ya estaban actualizados)"
853;TP-271085;"No se realizaron cambios (los datos ya estaban actualizados)"
899;TP-376169;"No se realizaron cambios (los datos ya estaban actualizados)"
910;TP-207837;"No se realizaron cambios (los datos ya estaban actualizados)"
919;TP-314993;"No se realizaron cambios (los datos ya estaban actualizados)"
920;TP-375344;"No se realizaron cambios (los datos ya estaban actualizados)"
923;TP-367492;"No se realizaron cambios (los datos ya estaban actualizados)"
932;TP-256902;"No se realizaron cambios (los datos ya estaban actualizados)"
933;TP-347937;"No se realizaron cambios (los datos ya estaban actualizados)"
938;TP-375359;"No se realizaron cambios (los datos ya estaban actualizados)"
943;TP-376036;"No se realizaron cambios (los datos ya estaban actualizados)"
962;TP-228376;"No se realizaron cambios (los datos ya estaban actualizados)"
965;TP-373478;"No se realizaron cambios (los datos ya estaban actualizados)"
972;TP-315149;"No se realizaron cambios (los datos ya estaban actualizados)"
974;TP-315575;"No se realizaron cambios (los datos ya estaban actualizados)"
976;TP-373917;"No se realizaron cambios (los datos ya estaban actualizados)"
982;TP-301963;"No se realizaron cambios (los datos ya estaban actualizados)"
985;TP-337495;"No se realizaron cambios (los datos ya estaban actualizados)"
992;TP-376744;"No se realizaron cambios (los datos ya estaban actualizados)"
994;TP-370718;"No se realizaron cambios (los datos ya estaban actualizados)"
998;TP-375363;"No se realizaron cambios (los datos ya estaban actualizados)"
1001;TP-376172;"No se realizaron cambios (los datos ya estaban actualizados)"
1004;TP-371139;"No se realizaron cambios (los datos ya estaban actualizados)"
1015;TP-370090;"No se realizaron cambios (los datos ya estaban actualizados)"
1024;TP-321161;"No se realizaron cambios (los datos ya estaban actualizados)"
1027;TP-369915;"No se realizaron cambios (los datos ya estaban actualizados)"
1048;TP-375336;"No se realizaron cambios (los datos ya estaban actualizados)"
1063;TP-349959;"No se realizaron cambios (los datos ya estaban actualizados)"
1073;TP-254166;"No se realizaron cambios (los datos ya estaban actualizados)"
1077;TP-315601;"No se realizaron cambios (los datos ya estaban actualizados)"
1078;TP-376173;"No se realizaron cambios (los datos ya estaban actualizados)"
1086;TP-366809;"No se realizaron cambios (los datos ya estaban actualizados)"
1089;TP-375364;"No se realizaron cambios (los datos ya estaban actualizados)"
1091;TP-376034;"No se realizaron cambios (los datos ya estaban actualizados)"
1097;TP-375345;"No se realizaron cambios (los datos ya estaban actualizados)"
1104;TP-368994;"No se realizaron cambios (los datos ya estaban actualizados)"
1106;TP-376138;"No se realizaron cambios (los datos ya estaban actualizados)"
1107;TP-376006;"No se realizaron cambios (los datos ya estaban actualizados)"
1110;TP-376100;"No se realizaron cambios (los datos ya estaban actualizados)"
1117;TP-012551;"No se realizaron cambios (los datos ya estaban actualizados)"
1147;TP-013663;"No se realizaron cambios (los datos ya estaban actualizados)"
1155;TP-177625;"No se realizaron cambios (los datos ya estaban actualizados)"
1157;TP-294344;"No se realizaron cambios (los datos ya estaban actualizados)"
1166;TP-369979;"No se realizaron cambios (los datos ya estaban actualizados)"
1167;TP-052028;"No se realizaron cambios (los datos ya estaban actualizados)"
1168;TP-004236;"No se realizaron cambios (los datos ya estaban actualizados)"
1169;TP-006052;"No se realizaron cambios (los datos ya estaban actualizados)"
1177;TP-010082;"No se realizaron cambios (los datos ya estaban actualizados)"
1182;TP-047176;"No se realizaron cambios (los datos ya estaban actualizados)"
1183;TP-067454;"No se realizaron cambios (los datos ya estaban actualizados)"
1185;TP-372502;"No se realizaron cambios (los datos ya estaban actualizados)"
1188;TP-052766;"No se realizaron cambios (los datos ya estaban actualizados)"
1196;TP-003980;"No se realizaron cambios (los datos ya estaban actualizados)"
1199;TP-062531;"No se realizaron cambios (los datos ya estaban actualizados)"
1203;TP-059767;"No se realizaron cambios (los datos ya estaban actualizados)"
1205;TP-049184;"No se realizaron cambios (los datos ya estaban actualizados)"
1226;TP-176498;"No se realizaron cambios (los datos ya estaban actualizados)"
1238;TP-006269;"No se realizaron cambios (los datos ya estaban actualizados)"
1239;TP-176634;"No se realizaron cambios (los datos ya estaban actualizados)"
1242;TP-054928;"No se realizaron cambios (los datos ya estaban actualizados)"
1253;TP-008142;"No se realizaron cambios (los datos ya estaban actualizados)"
1263;TP-207605;"No se realizaron cambios (los datos ya estaban actualizados)"
1264;TP-211700;"No se realizaron cambios (los datos ya estaban actualizados)"
1268;TP-043892;"No se realizaron cambios (los datos ya estaban actualizados)"
1279;TP-023969;"No se realizaron cambios (los datos ya estaban actualizados)"
1280;TP-052332;"No se realizaron cambios (los datos ya estaban actualizados)"
1283;TP-043958;"No se realizaron cambios (los datos ya estaban actualizados)"
1291;TP-177200;"No se realizaron cambios (los datos ya estaban actualizados)"
1299;TP-001737;"No se realizaron cambios (los datos ya estaban actualizados)"
1309;TP-013645;"No se realizaron cambios (los datos ya estaban actualizados)"
1315;TP-047755;"No se realizaron cambios (los datos ya estaban actualizados)"
1317;TP-008776;"No se realizaron cambios (los datos ya estaban actualizados)"
1322;TP-067704;"No se realizaron cambios (los datos ya estaban actualizados)"
1328;TP-230224;"No se realizaron cambios (los datos ya estaban actualizados)"
1330;TP-002509;"No se realizaron cambios (los datos ya estaban actualizados)"
